,prodstrain,sumprice,perprice
204,Lemon Tree,32493.00,0.04384309227476564293210370998
331,Tahoe OG,14457.00,0.01950695796067728125656059260
318,Stone Age 1/2 OZ Harvest Shake,13845.76,0.01868220642274518044759192021
129,Girl Scout Cookies,9364.00,0.01263492801713924477321943619
306,Skywalker,8450.00,0.01140165973353552096686290430
67,Blue Dream,5116.00,0.006903064046954760386564570223
139,Grand Daddy Purple,4860.00,0.006557640982838181289817007679
199,Khalifia Kush,4818.00,0.006500970011381555031756860699
313,Smoke Stacks 1/8 Strawberry Banana,4711.67,0.006357498001977196221767921928
